Date,Close,Open,High,Low,Volume,Change%
2022-05-18,"1,240.76","1,228.37","1,249.84","1,222.92",566.36K,1.01%
2022-05-17,"1,228.37","1,171.95","1,228.37","1,156.54",583.96K,4.81%
2022-05-16,"1,171.95","1,182.77","1,215.96","1,170.59",584.39K,-0.91%
2022-05-13,"1,182.77","1,238.84","1,238.84","1,180.60",816.99K,-4.53%
2022-05-12,"1,238.84","1,301.53","1,301.53","1,238.05",557.89K,-4.82%
2022-05-11,"1,301.53","1,293.56","1,305.17","1,277.91",418.23K,0.62%
2022-05-10,"1,293.56","1,269.62","1,293.56","1,232.57",665.48K,1.89%
2022-05-09,"1,269.62","1,329.26","1,329.26","1,265.54",673.76K,-4.49%
2022-05-06,"1,329.26","1,360.68","1,360.68","1,328.13",564.07K,-2.31%
2022-05-05,"1,360.68","1,348.68","1,362.18","1,331.41",531.08K,0.89%
2022-05-04,"1,348.68","1,366.11","1,366.39","1,348.68",528.29K,-1.33%
2022-04-29,"1,366.80","1,350.99","1,369.31","1,343.24",598.40K,1.17%
2022-04-28,"1,350.99","1,353.77","1,358.07","1,344.10",485.12K,-0.21%
2022-04-27,"1,353.77","1,341.34","1,355.92","1,314.81",519.56K,0.93%
2022-04-26,"1,341.34","1,310.92","1,341.34","1,261.40",727.65K,2.32%
2022-04-25,"1,310.92","1,379.23","1,382.13","1,298.38",762.88K,-4.95%
2022-04-22,"1,379.23","1,370.21","1,392.89","1,352.43",834.41K,0.66%
2022-04-21,"1,370.21","1,384.72","1,392.33","1,356.58",810.67K,-1.05%
2022-04-20,"1,384.72","1,401.63","1,410.64","1,384.72",688.33K,-1.55%
2022-04-19,"1,406.45","1,432.60","1,442.04","1,406.45",702.35K,-1.83%
